t0,x,y,sigma,gamma,e,theta_e,theta_gamma,zs,zl,snx,sny,MB,mu,sysno,imno,mag,x0,x1,c,twinkles_sysno,bulge_magnorm,r_eff,lens_sed,t_start
0.661,0.0246,-0.0311,92.2647463196,0.0411656384062,0.434016152008,169.638116827,262.095252822,0.941117879145,0.674465648831,-0.0166634471367,0.00772151664481,-19.4675016737,-3.591,11983,0,23.4027557947,2.54971090764e-06,0.0,0.0,1314,23.2908496857,0.419118213277,Inst.20E09.02Z.spec,59840.5859048
0.0,-0.071,0.0255,92.2647463196,0.0411656384062,0.434016152008,169.638116827,262.095252822,0.941117879145,0.674465648831,-0.0166634471367,0.00772151664481,-19.4675016737,2.442,11983,1,23.8214301585,2.54971090764e-06,0.0,0.0,1314,23.2908496857,0.419118213277,Inst.20E09.02Z.spec,59839.9249048
0.0,-0.5794,-1.0824,200.717061969,0.0490608723513,0.309716748664,230.61152321,318.223322865,0.937088825068,0.183846364884,-0.160049986875,-0.319660043129,-19.3485188926,2.7187,12015,0,23.7990081393,2.30969208366e-06,0.0,0.0,1315,18.2041606903,1.15280791716,Inst.32E09.04Z.spec,59868.0060878
18.185,0.18,0.5118,200.717061969,0.0490608723513,0.309716748664,230.61152321,318.223322865,0.937088825068,0.183846364884,-0.160049986875,-0.319660043129,-19.3485188926,-2.2406,12015,1,24.0090005282,2.30969208366e-06,0.0,0.0,1315,18.2041606903,1.15280791716,Inst.32E09.04Z.spec,59886.1910878
0.0,0.35,-0.7359,251.565022065,0.0367665726798,0.0700907451242,192.542153214,288.34316669,0.449701337691,0.33002272489,0.152106808823,-0.313750138423,-19.4785857929,2.1827,12068,0,21.2653990684,1.58332615334e-05,0.0,0.0,1316,18.7548103333,1.92155951969,Exp.40E09.04Z.spec,60376.2107735
49.137,-0.0391,0.083,251.565022065,0.0367665726798,0.0700907451242,192.542153214,288.34316669,0.449701337691,0.33002272489,0.152106808823,-0.313750138423,-19.4785857929,-0.263,12068,1,23.5629948183,1.58332615334e-05,0.0,0.0,1316,18.7548103333,1.92155951969,Exp.40E09.04Z.spec,60425.3477735
0.0,-0.3577,-0.045,208.253878376,0.0140306485569,0.40437857536,201.071017291,298.793248153,0.855464400348,0.643950168343,-0.0976073921266,0.00189383982441,-19.1542715717,2.2665,12130,0,23.7715056898,2.42463324852e-06,0.0,0.0,1318,20.3662796021,0.690926997662,Inst.40E09.04Z.spec,60455.1631099
17.585,0.1451,-0.0689,208.253878376,0.0140306485569,0.40437857536,201.071017291,298.793248153,0.855464400348,0.643950168343,-0.0976073921266,0.00189383982441,-19.1542715717,-2.0367,12130,1,23.8875773398,2.42463324852e-06,0.0,0.0,1318,20.3662796021,0.690926997662,Inst.40E09.04Z.spec,60472.7481099
0.0,-0.1855,0.1231,226.54694454,0.0584410695556,0.199871804726,194.9519925,135.941492301,0.571625824869,0.484598982697,-0.00844271568115,0.0173101785435,-19.2972110844,6.0116,12153,0,21.0137452644,7.49063670608e-06,0.0,0.0,1319,19.3871994019,1.431861277,Inst.25E09.02Z.spec,60524.5197421
3.582,0.0236,-0.17,226.54694454,0.0584410695556,0.199871804726,194.9519925,135.941492301,0.571625824869,0.484598982697,-0.00844271568115,0.0173101785435,-19.2972110844,-3.9697,12153,1,21.4643262356,7.49063670608e-06,0.0,0.0,1319,19.3871994019,1.431861277,Inst.25E09.02Z.spec,60528.1017421
3.026,-0.706,-0.1011,183.601321936,0.0860306827065,0.277378754436,82.6698554399,91.8887497017,0.90706164927,0.109039550641,0.00153032984555,0.0639072554341,-19.3620029118,-2.2674,12160,0,23.8053673175,2.5367543207e-06,0.0,0.0,1320,17.3017501831,2.06444921506,Burst.32E09.02Z.spec,59880.8037215
