id,ra,dec,mag_norm,redshift,twinkles_id,image_num,lens_gal_id
52009881600028,53.0788417,-27.4636998,22.2363481,1.19,0,0,5200988186
52009881601052,53.0792873,-27.4638729,23.604352,1.19,0,1,5200988186
52009902485532,53.2116105,-27.4581545,23.6366891,1.18,99,0,5200990234
52009902486556,53.2118165,-27.4581307,21.8246938,1.18,99,1,5200990234
53936774864924,52.9170865,-27.6096121,22.3730906,3.26,426,0,5393677338
53936774865948,52.9174667,-27.6094442,23.8517924,3.26,426,1,5393677338
54727703228444,52.8337643,-27.5324791,23.1312112,1.92,671,0,5472770074
54727703229468,52.8339794,-27.5323415,23.7232154,1.92,671,1,5472770074
54727703230492,52.8336067,-27.532312,23.4366521,1.92,671,2,5472770074
54727703231516,52.833789,-27.5321396,23.3408856,1.92,671,3,5472770074
58180097388572,52.7627609,-27.3869366,23.4603578,2.2,339,0,5818009626
58180097389596,52.7623591,-27.3868366,24.41589,2.2,339,1,5818009626
58180097390620,52.762744,-27.3866447,23.5799733,2.2,339,2,5818009626
58180097391644,52.7624475,-27.3865053,23.4104867,2.2,339,3,5818009626
58574173376540,53.1367052,-27.5592733,19.5858554,1.03,297,0,5857417242
58574173377564,53.1367903,-27.5591194,20.9873137,1.03,297,1,5857417242
58767105159196,53.2414353,-27.4289329,22.4049415,1.04,283,0,5876710426
58767105160220,53.241715,-27.4289062,22.1602117,1.04,283,1,5876710426
58770473316380,52.8953245,-27.4532626,20.9286956,0.82,87,0,5877047322
58770473317404,52.8954763,-27.4533147,22.6834475,0.82,87,1,5877047322
60880743206940,52.8434911,-27.5262052,23.2606191,2.47,197,0,6088074266
60880743207964,52.8434977,-27.5260616,23.6436932,2.47,197,1,6088074266
60880743208988,52.8437769,-27.5257632,23.8033464,2.47,197,2,6088074266
60880743210012,52.8439532,-27.5261572,26.4510324,2.47,197,3,6088074266
61163551825948,52.7339755,-27.5230451,23.4792241,2.26,270,0,6116355098
61163551826972,52.7336224,-27.5221193,22.6159309,2.26,270,1,6116355098
63041474859036,52.9421864,-27.5903819,22.8874305,1.14,73,0,6304147482
63041474860060,52.9425334,-27.5903708,23.5432027,1.14,73,1,6304147482
64003052765212,52.9605547,-27.4866156,22.9591237,1.15,304,0,6400305178
64003052766236,52.9604169,-27.4862952,22.4024589,1.15,304,1,6400305178
65451141750812,52.7732829,-27.4222186,21.7881,1.07,154,0,6545114138
65451141751836,52.7726836,-27.4220677,21.0470555,1.07,154,1,6545114138
65746883047452,52.8939367,-27.1671666,22.7864488,1.56,119,0,6574688282
65746883048476,52.8945226,-27.1667937,22.7709551,1.56,119,1,6574688282
65842239094812,52.8610912,-27.6138449,23.3585262,2.03,404,0,6584223770
65842239095836,52.8612512,-27.613671,22.9947842,2.03,404,1,6584223770
70827715072028,53.1669523,-27.6841988,21.0725719,2.2,125,0,7082771482
70827715073052,53.1667263,-27.6843414,23.4836061,2.2,125,1,7082771482
74022032519196,53.2171049,-27.2612215,22.456302,1.04,283,0,7402203162
74022032520220,53.2173841,-27.2611947,22.2420073,1.04,283,1,7402203162
76910859014172,53.0006777,-27.5937706,21.7959255,1.35,189,0,7691085850
76910859015196,53.0008202,-27.5933796,21.0753962,1.35,189,1,7691085850
80809095868444,52.7680946,-27.4306433,22.821733,1.92,671,0,8080909338
80809095869468,52.7683096,-27.4305057,23.3036213,1.92,671,1,8080909338
80809095870492,52.7679373,-27.4304762,23.1232669,1.92,671,2,8080909338
80809095871516,52.7681193,-27.4303038,23.0593747,1.92,671,3,8080909338
81032049954844,52.8485729,-27.3925292,21.802242,1.1,321,0,8103204890
81032049955868,52.8484183,-27.3924404,19.7810834,1.1,321,1,8103204890
84516424925212,53.1804602,-27.6727455,22.6014109,1.15,304,0,8451642394
84516424926236,53.1803222,-27.6724251,22.1113524,1.15,304,1,8451642394
86215045607452,52.8240499,-27.3028846,23.7159182,1.56,119,0,8621504538
86215045608476,52.8246365,-27.3025117,23.84163,1.56,119,1,8621504538
86513675137052,52.7469724,-27.3665338,21.186519,2.71,219,0,8651367450
86513675138076,52.7476414,-27.366475,23.6798079,2.71,219,1,8651367450
86846495658012,53.2809651,-27.4738899,20.8331468,1.12,229,0,8684649498
