obsHistIDs, filter_index, moonAlt, moonPhase, rotSkyPos, altitude, vSkyBright, filtSkyBrightness, rawSeeing, airmass, dist2Moon, sunAlt, field, ra, dec, randomDitherFieldPerVisitRA, randomDitherFieldPerVisitDec
1468934,2,30.9353664578,61.878853,207.7967808,72.7085733852,20.513811,20.565488,0.509616,1.047335,75.213430274,-30.7189602986,1323,93.1078762442,-29.9663229389,92.3168111672,-29.7066011704
1468935,2,31.0585523838,61.873856,206.320669632,75.1847250884,20.503128,20.554792,0.509616,1.034389,72.4611702093,-30.651809645,1333,96.2172036068,-29.4075744971,97.0662989892,-29.1737504209
1468936,2,31.1822539717,61.868835,203.559528722,77.5985962793,20.487608,20.539259,0.509616,1.023891,69.7137802859,-30.5854038366,1365,99.2852207124,-28.7786387254,99.7347692196,-28.7749144997
1468940,2,31.6881184091,61.848247,188.309454863,71.9782240838,20.48182,20.533415,0.509616,1.051593,72.0290454402,-30.3093527709,1568,95.1401002477,-23.8813965631,94.9509284299,-24.8630451535
1468941,2,31.8119918844,61.843193,191.555776435,69.5142190858,20.490137,20.541719,0.509616,1.067512,74.8366532279,-30.2401394692,1564,92.1208418505,-24.4157942986,91.0651826941,-24.0625085221
1468973,2,35.873174032,61.6743,211.580823262,67.1194846853,20.465315,20.516447,0.509616,1.085404,75.2947329851,-27.8204241088,1323,93.1078762442,-29.9663229389,94.4611061196,-30.12663653
1468974,2,35.9908595632,61.669301,210.815924605,69.4696429693,20.458143,20.509261,0.509616,1.067822,72.5418426668,-27.6794764912,1333,96.2172036068,-29.4075744971,96.1084194269,-29.7122734526
1468975,2,36.1083732069,61.664304,209.350126678,71.8803628924,20.446762,20.497867,0.509616,1.05218,69.7937078983,-27.6005802028,1365,99.2852207124,-28.7786387254,100.19667263,-29.8357458574
1468979,2,36.5861054165,61.643913,197.697139153,66.4039749907,20.433127,20.484178,0.509616,1.09124,72.1270785189,-27.2773174148,1568,95.1401002477,-23.8813965631,95.0156566471,-24.3257253332
1468980,2,36.702645032,61.638921,199.591624103,63.8630217609,20.436787,20.487824,0.509616,1.113906,74.9346863066,-27.195670929,1564,92.1208418505,-24.4157942986,91.3828179937,-25.580903975
1468981,2,36.819070056,61.633927,200.879289452,61.263340357,20.434683,20.485707,0.509616,1.140463,77.7321527414,-27.1152276546,1542,89.0888637902,-24.8893439163,89.2404529091,-26.0738195661
1469043,2,43.9262104342,61.31157,203.047017974,54.6108992851,20.348813,20.398978,0.509616,1.226639,76.6835826805,-21.38650914,1431,90.9908544869,-27.4389488088,89.4696636269,-27.163184222
1469044,2,44.0290563584,61.306569,202.704389212,56.9678757669,20.353009,20.40316,0.509616,1.192801,73.9249627843,-21.2901949346,1447,94.0409380135,-26.9236878637,93.2383823366,-27.5397893808
