obshistid,expmjd,filter,rotskypos,start_run,end_run,altitude,rawseeing,airmass,moonalt,moonphase,dist2moon,sunalt,cputime,hostname,cputime_fell,runlimit,vskybright,filtskybrightness
 982426,61027.06641,0, 87.3900986,57449.516,57449.715,78.32997894, 0.5452380, 1.0211080,-31.02766991, 3.5683999, 126.8108597,-20.55451775, 16514.09,0,  16514.09,0,21.568727,22.228727
 983137,61028.07422,0,123.7311478,57449.516,57449.711,82.08743286, 0.6218880, 1.0096130,-26.09530640, 0.9804250, 121.8506470,-22.54262352, 16159.41,0,  16159.41,0,21.578619,22.238619
 983853,61029.07812,0,122.3997726,57449.516,57449.715,82.93088531, 0.5589160, 1.0076600,-19.61171532, 0.1797840, 115.7253876,-22.48928070, 16128.31,0,  16128.31,0,21.580313,22.240313
 984546,61030.07812,0,103.7670135,57449.516,57449.723,83.81312561, 0.5455810, 1.0058590,-12.79563713, 1.2097670, 108.7168503,-22.48441124, 16925.38,0,  16925.38,0,21.581881,22.241880
 985230,61031.07812,0, 96.8169785,57449.516,57449.777,84.72252655, 0.5881220, 1.0042570, -5.82560587, 4.0950842, 101.0931320,-22.53156471, 17037.20,0,  17037.20,0,21.574394,22.147943
 988661,61036.07031,2,138.0082245,57449.516,57451.793,86.21594238, 0.7152710, 1.0021850, 29.86284637,42.7055511,  61.6614876,-20.63438797,169004.48,0, 169004.48,0,20.888832,20.860962
 988662,61036.07031,1,140.0133514,57449.516,57453.352,86.30303192, 0.7152710, 1.0020860, 29.34592438,42.7245750,  61.6540413,-20.72566032,322358.12,0, 322358.12,0,20.890535,20.981922
 988672,61036.08984,3,233.5925446,57449.516,57451.191,85.14983368, 0.7152710, 1.0035940, 23.43385887,42.9395905,  61.5654030,-24.90911102,115032.80,0, 115032.80,0,20.912575,19.906240
 988692,61036.10156,4,246.3253784,57449.516,57450.816,82.43859863, 0.7152710, 1.0087720, 20.54580879,43.0432701,  61.5193367,-26.75157166,106935.02,0, 106935.02,0,20.923367,19.097713
 988718,61036.11328,5,252.5925140,57449.516,57451.500,78.76920319, 0.7152710, 1.0195240, 16.88598251,43.1737595,  61.4582024,-28.88755798,141710.31,0, 141710.31,0,20.938196,17.299999
 990730,61039.06250,2,132.1543274,57449.516,57454.516,86.44936371, 0.8002720, 1.0019230, 38.28865051,75.1046448,  49.9145355,-18.95436096,377951.62,0, 489566.56,1,19.837353,19.924297
 990749,61039.08594,1,239.2604675,57449.516,57454.516,84.28438568, 0.8002720, 1.0049970, 35.13681030,75.3466339,  49.9472504,-23.84587288,428302.00,0, 848141.50,1,19.842188,19.779249
 990759,61039.09375,3,245.5486755,57454.320,57457.098,82.71041107, 0.8002720, 1.0081490, 34.26866150,75.4023132,  49.9537277,-24.95500565,239425.20,3, 409417.11,0,19.842104,19.034517
 990779,61039.10156,4,251.3655243,57449.516,57452.574,79.81404877, 0.8002720, 1.0160140, 32.63229370,75.4998474,  49.9640388,-26.80743408,255578.25,0, 255578.25,0,19.840981,18.264978
 990805,61039.11328,5,254.6817474,57449.516,57451.738,76.07206726, 0.8002720, 1.0302920, 30.38423920,75.6223679,  49.9750977,-28.95660019,173489.27,0, 173489.27,0,19.838079,17.299999
 994196,61044.06641,2,217.9648285,57449.516,57454.516,86.41183472, 0.8172530, 1.0019640,  9.86971378,99.1915970,  80.6486816,-18.96066284,423020.50,0, 708308.56,1,19.467251,19.768763
 994216,61044.07422,1,240.9915466,57449.551,57454.551,83.93602753, 0.8172530, 1.0056270, 12.14767933,99.1726608,  80.7294083,-21.19703293,420000.25,0,1665792.12,1,19.415585,19.076754
 994226,61044.07812,3,246.5824738,57449.551,57453.641,82.34326172, 0.8172530, 1.0089970, 13.41804123,99.1617432,  80.7743301,-22.39990044,314109.59,3, 537127.42,0,19.387648,18.904654
 994246,61044.08984,4,251.8491516,57449.551,57452.672,79.43286133, 0.8172530, 1.0172530, 15.58983803,99.1423950,  80.8511047,-24.42811203,262689.44,0, 262689.44,0,19.341618,18.165323
 994272,61044.10156,5,254.8921356,57449.551,57450.910,75.68445587, 0.8172530, 1.0320470, 18.21237946,99.1176987,  80.9442139,-26.82003975, 97847.14,3, 167318.61,0,19.288462,17.299999
 995609,61047.06250,2,235.5817871,57449.551,57449.953,84.88524628, 0.6219420, 1.0039980,-13.21836567,82.9483032, 107.8096848,-18.59213638, 31167.27,3,  53296.03,0,21.583502,21.303501
 995629,61047.07422,1,247.2735138,57449.551,57449.875,82.07208252, 0.6219420, 1.0096500,-10.29158211,82.8694916, 107.8991852,-20.86322594, 25391.36,3,  43419.23,0,21.308319,21.718319
 995639,61047.07812,3,250.5000153,57449.551,57450.430,80.41754913, 0.6219420, 1.0141510, -8.62479115,82.8244858, 107.9490891,-22.08666420, 51365.89,0,  51365.89,0,21.093382,19.733381
 995659,61047.08594,4,253.7650757,57449.551,57450.125,77.45742035, 0.6219420, 1.0244499, -5.70877981,82.7454910, 108.0343475,-24.15303612, 43457.23,3,  74311.87,0,20.792774,19.304939
 995685,61047.10156,5,255.7328339,57449.551,57451.035,73.68454742, 0.6219420, 1.0419610, -2.05519962,82.6459732, 108.1377640,-26.59692955,111305.28,0, 111305.28,0,20.497808,17.299999
 997041,61050.06250,2,246.7155151,57449.551,57449.953,82.29278564, 0.8016850, 1.0091170,-29.04105377,55.1589699, 127.0475464,-18.91316414, 30228.99,3,  51691.57,0,21.579048,21.299049
 997061,61050.07422,1,251.9956055,57449.551,57449.898,79.31013489, 0.8016850, 1.0176620,-26.44102859,55.0643959, 127.1067886,-21.19428253, 26537.56,3,  45379.23,0,21.571678,21.981680
 997071,61050.07812,3,253.6407318,57449.551,57450.430,77.61635590, 0.8016850, 1.0238219,-24.93340492,55.0104523, 127.1396179,-22.42339134, 51386.36,0,  51386.36,0,21.566414,20.206413
 997091,61050.08984,4,255.3855591,57449.551,57450.688,74.62059021, 0.8016850, 1.0371400,-22.25178909,54.9158821, 127.1955414,-24.49967575, 80248.71,0,  80248.71,0,21.555166,19.405167
 997117,61050.10156,5,256.4180908,57449.551,57450.277,70.82875824, 0.8016850, 1.0587161,-18.81707954,54.7969475, 127.2628632,-26.95600319, 59778.30,3, 102220.90,0,21.537333,17.299999
 997744,61054.06641,2,252.5925598,57449.551,57450.156,78.76914978, 0.7058780, 1.0195240,-34.62292099,19.4637794, 127.7874069,-19.30541229, 51356.95,0,  51356.95,0,21.570084,21.290083
 997764,61054.07422,1,254.8771210,57449.551,57450.086,75.71321869, 0.7058780, 1.0319149,-34.05110931,19.3917313, 127.7435760,-21.60681152, 45703.76,0,  45703.76,0,21.559557,21.969557
